datahora,satelite,pais,estado,municipio,bioma,diasemchuva,precipitacao,riscofogo,latitude,longitude,frp
2021/06/26 17:00:00,AQUA_M-T,Brasil,RIO DE JANEIRO,SANTO ANTONIO DE PADUA,Mata Atlantica,17,0,-999,-21.522,-42.201,11.4
2021/06/26 17:00:00,AQUA_M-T,Brasil,SAO PAULO,IBITINGA,Cerrado,15,0,1,-21.87,-48.799,4.7
2021/06/26 17:00:00,AQUA_M-T,Brasil,MATO GROSSO DO SUL,ANTONIO JOAO,Cerrado,9,0,0.5,-22.263,-56.016,28.9
2021/06/26 17:00:00,AQUA_M-T,Brasil,SAO PAULO,SANTA BARBARA D'OESTE,Mata Atlantica,4,0.1,1,-22.844,-47.454,15.3
2021/06/26 17:00:00,AQUA_M-T,Brasil,RIO DE JANEIRO,RIO DE JANEIRO,Mata Atlantica,-999,0,1,-22.851,-43.442,9.3
2021/06/26 17:00:00,AQUA_M-T,Brasil,SAO PAULO,CAPIVARI,Mata Atlantica,3,0.3,1,-22.873,-47.46,74.7
2021/06/26 17:00:00,AQUA_M-T,Brasil,SAO PAULO,CAPIVARI,Mata Atlantica,3,0.3,1,-22.883,-47.468,52.9
2021/06/26 17:00:00,AQUA_M-T,Brasil,SAO PAULO,CAPIVARI,Mata Atlantica,3,0.3,1,-22.874,-47.469,181.5
2021/06/26 17:00:00,AQUA_M-T,Brasil,SAO PAULO,CAPIVARI,Mata Atlantica,3,0.3,0.9,-22.882,-47.458,12.8
2021/06/26 17:00:00,AQUA_M-T,Brasil,MATO GROSSO DO SUL,AMAMBAI,Mata Atlantica,2,0,1,-23.015,-54.983,17.3
2021/06/26 17:00:00,AQUA_M-T,Brasil,PARANA,LONDRINA,Mata Atlantica,7,0,0.8,-23.404,-50.999,16.8
2021/06/26 17:00:00,AQUA_M-T,Brasil,PARANA,LONDRINA,Mata Atlantica,6,0,0.8,-23.405,-51.011,10.6
2021/06/26 17:00:00,AQUA_M-T,Brasil,PARANA,ARAPONGAS,Mata Atlantica,2,0,0.6,-23.445,-51.424,6.6
2021/06/26 17:00:00,AQUA_M-T,Brasil,PARANA,PONTA GROSSA,Mata Atlantica,2,0,0.5,-25.133,-50.277,10
2021/06/26 17:00:00,AQUA_M-T,Brasil,PARANA,PALMEIRA,Mata Atlantica,3,0,0.4,-25.548,-50.19,41.4
2021/06/26 17:00:00,AQUA_M-T,Brasil,PARANA,PALMEIRA,Mata Atlantica,4,0,0.2,-25.547,-50.178,11.3
2021/06/26 17:00:00,AQUA_M-T,Brasil,MATO GROSSO,PORTO DOS GAUCHOS,Amazonia,34,0,0.8,-11.806,-56.436,47.2
2021/06/26 17:00:00,AQUA_M-T,Brasil,MATO GROSSO,SINOP,Amazonia,34,0,1,-11.748,-55.136,22.6
2021/06/26 17:00:00,AQUA_M-T,Brasil,MATO GROSSO,UNIAO DO SUL,Amazonia,23,0.1,0.7,-11.395,-54.43,514.5
2021/06/26 17:00:00,AQUA_M-T,Brasil,TOCANTINS,DIANOPOLIS,Cerrado,38,0,1,-11.495,-46.779,19
2021/06/26 17:00:00,AQUA_M-T,Brasil,TOCANTINS,PONTE ALTA DO BOM JESUS,Cerrado,38,0,1,-11.816,-46.48,10.5
2021/06/26 17:00:00,AQUA_M-T,Brasil,TOCANTINS,DIANOPOLIS,Cerrado,38,0,1,-11.497,-46.792,10.2
2021/06/26 17:00:00,AQUA_M-T,Brasil,MATO GROSSO,UNIAO DO SUL,Amazonia,35,0.2,0.8,-11.417,-54.27,20.3
2021/06/26 17:00:00,AQUA_M-T,Brasil,MATO GROSSO,SAO FELIX DO ARAGUAIA,Amazonia,39,0,1,-11.446,-52.065,78.5
2021/06/26 17:00:00,AQUA_M-T,Brasil,TOCANTINS,NATIVIDADE,Cerrado,39,0,1,-11.661,-47.651,10.3
2021/06/26 17:00:00,AQUA_M-T,Brasil,MATO GROSSO,UNIAO DO SUL,Amazonia,25,0.1,0.7,-11.394,-54.417,64.7
2021/06/26 17:00:00,AQUA_M-T,Brasil,MATO GROSSO,SAO FELIX DO ARAGUAIA,Amazonia,39,0,0.7,-11.447,-52.075,157.4
2021/06/26 17:00:00,AQUA_M-T,Brasil,TOCANTINS,PEIXE,Cerrado,38,0,1,-11.664,-48.401,21.3
2021/06/26 17:00:00,AQUA_M-T,Brasil,TOCANTINS,PEIXE,Cerrado,38,0,1,-11.665,-48.411,72.2
2021/06/26 17:00:00,AQUA_M-T,Brasil,MATO GROSSO,SAO FELIX DO ARAGUAIA,Amazonia,39,0,0.7,-11.42,-52.079,31.5
2021/06/26 17:00:00,AQUA_M-T,Brasil,MATO GROSSO,SAO FELIX DO ARAGUAIA,Amazonia,40,0,1,-11.455,-52.064,16.6
2021/06/26 17:00:00,AQUA_M-T,Brasil,MATO GROSSO,UNIAO DO SUL,Amazonia,34,0.1,0.7,-11.67,-54.27,23.2
2021/06/26 17:00:00,AQUA_M-T,Brasil,MATO GROSSO,UNIAO DO SUL,Amazonia,34,0.1,0.7,-11.672,-54.283,22
2021/06/26 17:00:00,AQUA_M-T,Brasil,MATO GROSSO,SAO FELIX DO ARAGUAIA,Amazonia,40,0,0.7,-11.457,-52.073,15
2021/06/26 17:00:00,AQUA_M-T,Brasil,MATO GROSSO,JUINA,Cerrado,25,0,0.7,-11.674,-59.216,33.2
2021/06/26 17:00:00,AQUA_M-T,Brasil,MATO GROSSO,CLAUDIA,Amazonia,35,0,0.8,-11.681,-54.782,37.5
2021/06/26 17:00:00,AQUA_M-T,Brasil,MATO GROSSO,SAO FELIX DO ARAGUAIA,Amazonia,39,0,0.8,-11.428,-52.068,122.8
2021/06/26 17:00:00,AQUA_M-T,Brasil,MATO GROSSO,CLAUDIA,Amazonia,34,0,0.7,-11.457,-55.095,22.5
2021/06/26 17:00:00,AQUA_M-T,Brasil,MATO GROSSO,CLAUDIA,Amazonia,35,0,0.7,-11.691,-54.767,19.5
2021/06/26 17:00:00,AQUA_M-T,Brasil,MATO GROSSO,UNIAO DO SUL,Amazonia,21,0.1,0.7,-11.397,-54.442,41
2021/06/26 17:00:00,AQUA_M-T,Brasil,MATO GROSSO,SINOP,Amazonia,34,0,0.7,-11.747,-55.121,102.6
2021/06/26 17:00:00,AQUA_M-T,Brasil,MATO GROSSO,COMODORO,Cerrado,23,0,0.6,-14.021,-59.588,694.6
2021/06/26 17:00:00,AQUA_M-T,Brasil,MATO GROSSO,NOVA NAZARE,Cerrado,36,0,0.8,-14.253,-52.03,12.7
2021/06/26 17:00:00,AQUA_M-T,Brasil,MATO GROSSO,NOVA NAZARE,Cerrado,37,0,0.8,-14.255,-52.04,13.4
2021/06/26 17:00:00,AQUA_M-T,Brasil,MATO GROSSO,NOVA NAZARE,Cerrado,35,0,0.8,-14.257,-52.024,19.1
