FID,longitude,latitude,data_hora_gmt,satelite,municipio,estado,pais,geom
focos_ams_ontem_hoje_ref.577f2567-39da-30b2-8dfb-6ed06d4a8a09,-72.924,8.775,2021-07-04T17:55:00,AQUA_M-T,Tibú,Norte de Santander,Colombia,POINT (8.775 -72.924)
focos_ams_ontem_hoje_ref.8f0700d0-0f6d-3ecd-8a8f-189137853e55,-62.483,8.645,2021-07-04T17:55:00,AQUA_M-T,Sotillo,Monagas,Venezuela,POINT (8.645 -62.483)
focos_ams_ontem_hoje_ref.fc8469db-b33b-3d03-b5bf-39fdb273b338,-61.522,7.528,2021-07-04T17:55:00,AQUA_M-T,Roscio,Bolívar,Venezuela,POINT (7.528 -61.522)
focos_ams_ontem_hoje_ref.17af09dc-fc87-3abb-8a81-41a57ccea8ac,-61.528,7.523,2021-07-04T17:55:00,AQUA_M-T,Roscio,Bolívar,Venezuela,POINT (7.523 -61.528)
focos_ams_ontem_hoje_ref.eb003467-af31-3d1d-a586-85f64f835922,-63.561,7.482,2021-07-04T17:55:00,AQUA_M-T,Angostura,Bolívar,Venezuela,POINT (7.482 -63.561)
focos_ams_ontem_hoje_ref.8e396d6c-ec0b-3272-9291-2508ee6ba63e,-68.292,9.917,2021-07-04T17:55:00,AQUA_M-T,Falcón,Cojedes,Venezuela,POINT (9.917 -68.292)
focos_ams_ontem_hoje_ref.2269461a-e774-3793-a2cc-f55312340b25,-63.362,9.401,2021-07-04T17:55:00,AQUA_M-T,Maturín,Monagas,Venezuela,POINT (9.401 -63.362)
focos_ams_ontem_hoje_ref.7b9c0ca1-01f3-3916-8b30-9369f5d842c2,-67.603,9.298,2021-07-04T17:55:00,AQUA_M-T,Ortíz,Guárico,Venezuela,POINT (9.298 -67.603)
focos_ams_ontem_hoje_ref.41240b4b-d902-31c7-982a-e434a519f3dc,-72.826,3.438,2021-07-04T17:55:00,AQUA_M-T,San Martín,Meta,Colombia,POINT (3.438 -72.826)
focos_ams_ontem_hoje_ref.94a8a50c-7ce5-35ed-8e3f-822f0e25e0cd,-72.847,3.435,2021-07-04T17:55:00,AQUA_M-T,San Martín,Meta,Colombia,POINT (3.435 -72.847)
focos_ams_ontem_hoje_ref.56f3fe78-0c1f-3198-9315-078c82850a57,-73.11,3.408,2021-07-04T17:55:00,AQUA_M-T,San Martín,Meta,Colombia,POINT (3.408 -73.11)
focos_ams_ontem_hoje_ref.df484f5d-d3c9-3ea7-a525-d09eec3ea0e1,-69.452,11.054,2021-07-04T17:55:00,AQUA_M-T,Petit,Falcón,Venezuela,POINT (11.054 -69.452)
focos_ams_ontem_hoje_ref.ffec4033-d237-394e-86e4-52cba953e855,-71.667,10.956,2021-07-04T17:55:00,AQUA_M-T,Almirante Padilla,Zulia,Venezuela,POINT (10.956 -71.667)
focos_ams_ontem_hoje_ref.73f3597e-2a37-3436-b7e3-1e5151b2fa88,-68.966,10.49,2021-07-04T17:55:00,AQUA_M-T,Bolívar,Yaracuy,Venezuela,POINT (10.49 -68.966)
focos_ams_ontem_hoje_ref.aa9aed2c-7d31-3c55-a418-196524477110,-63.375,10.004,2021-07-04T17:55:00,AQUA_M-T,Piar,Monagas,Venezuela,POINT (10.004 -63.375)
focos_ams_ontem_hoje_ref.7c719f58-dc9c-3af8-931b-5d7513a7c165,-66.47,-17.535,2021-07-04T17:50:00,AQUA_M-T,Quillacollo,Cochabamba,Bolivia,POINT (-17.535 -66.47)
focos_ams_ontem_hoje_ref.ebc40cc0-aefa-3c2a-b704-2abb8a4c33dc,-58.269,-22.267,2021-07-04T17:50:00,AQUA_M-T,Puerto Pinasco,Presidente Hayes,Paraguay,POINT (-22.267 -58.269)
focos_ams_ontem_hoje_ref.cbccdcca-564b-33c2-b7a9-c6e276524c8e,-60.237,-17.567,2021-07-04T17:50:00,AQUA_M-T,Chiquitos,Santa Cruz,Bolivia,POINT (-17.567 -60.237)
focos_ams_ontem_hoje_ref.36f44f5c-9a4b-30ac-9893-30f049b16f58,-60.226,-17.574,2021-07-04T17:50:00,AQUA_M-T,Chiquitos,Santa Cruz,Bolivia,POINT (-17.574 -60.226)
focos_ams_ontem_hoje_ref.9e3f6f13-71ac-3951-b643-016ba0a88b0b,-58.268,-22.277,2021-07-04T17:50:00,AQUA_M-T,Puerto Pinasco,Presidente Hayes,Paraguay,POINT (-22.277 -58.268)
focos_ams_ontem_hoje_ref.15518145-f7ac-38cb-a752-b923b3e62dc2,-57.34,-18.922,2021-07-04T17:50:00,AQUA_M-T,CORUMBÁ,MATO GROSSO DO SUL,Brasil,POINT (-18.922 -57.34)
focos_ams_ontem_hoje_ref.371591e9-c1c0-383a-8366-571607b7a192,-57.966,-22.278,2021-07-04T17:50:00,AQUA_M-T,La Victoria,Alto Paraguay,Paraguay,POINT (-22.278 -57.966)
focos_ams_ontem_hoje_ref.2eef64ab-6961-3bbe-bd2b-cb5b1157fe1c,-55.116,-11.75,2021-07-04T17:50:00,AQUA_M-T,SINOP,MATO GROSSO,Brasil,POINT (-11.75 -55.116)
focos_ams_ontem_hoje_ref.ae51367a-039d-3756-9405-47f44732f546,-58.278,-22.278,2021-07-04T17:50:00,AQUA_M-T,Puerto Pinasco,Presidente Hayes,Paraguay,POINT (-22.278 -58.278)
focos_ams_ontem_hoje_ref.ca85d08f-47c7-3220-ab5f-cd26e9491741,-68.823,-8.919,2021-07-04T17:50:00,AQUA_M-T,SENA MADUREIRA,ACRE,Brasil,POINT (-8.919 -68.823)
focos_ams_ontem_hoje_ref.6e9ef4c5-5355-36e7-af1d-d8336711ee6b,-57.523,-19.533,2021-07-04T17:50:00,AQUA_M-T,CORUMBÁ,MATO GROSSO DO SUL,Brasil,POINT (-19.533 -57.523)
focos_ams_ontem_hoje_ref.b1ba4405-0145-3c16-ab36-aef3ae4d6991,-68.766,-10.768,2021-07-04T17:50:00,AQUA_M-T,EPITACIOLÂNDIA,ACRE,Brasil,POINT (-10.768 -68.766)
focos_ams_ontem_hoje_ref.8875e1fd-3546-3ae5-9067-482f51d431aa,-57.958,-22.281,2021-07-04T17:50:00,AQUA_M-T,La Victoria,Alto Paraguay,Paraguay,POINT (-22.281 -57.958)
focos_ams_ontem_hoje_ref.a86a9783-b91c-3e33-a726-c2d122767f13,-56.049,-22.282,2021-07-04T17:50:00,AQUA_M-T,Pedro Juan Caballero,Amambay,Paraguay,POINT (-22.282 -56.049)
focos_ams_ontem_hoje_ref.b28d2f76-4e5d-3ee6-a5bb-2ee5d537e1b4,-57.516,-19.535,2021-07-04T17:50:00,AQUA_M-T,CORUMBÁ,MATO GROSSO DO SUL,Brasil,POINT (-19.535 -57.516)
focos_ams_ontem_hoje_ref.26fd6365-4d0b-3ffe-b89e-0953c3f2e6e8,-58.43,-22.283,2021-07-04T17:50:00,AQUA_M-T,Puerto Pinasco,Presidente Hayes,Paraguay,POINT (-22.283 -58.43)
focos_ams_ontem_hoje_ref.58c50162-63c3-34b8-b0a7-9ba37040b476,-56.063,-22.284,2021-07-04T17:50:00,AQUA_M-T,Pedro Juan Caballero,Amambay,Paraguay,POINT (-22.284 -56.063)
focos_ams_ontem_hoje_ref.410d1bc5-30eb-34d8-b6cd-3460f46b0ca1,-64.331,-8.942,2021-07-04T17:50:00,AQUA_M-T,PORTO VELHO,RONDÔNIA,Brasil,POINT (-8.942 -64.331)
focos_ams_ontem_hoje_ref.7330e5c7-ff4a-31b3-b28d-02ffae1a7529,-65.487,-12.226,2021-07-04T17:50:00,AQUA_M-T,Yacuma,El Beni,Bolivia,POINT (-12.226 -65.487)
focos_ams_ontem_hoje_ref.9e3d104e-3780-36b0-aff9-6e7a10f915cc,-58.441,-22.285,2021-07-04T17:50:00,AQUA_M-T,Puerto Pinasco,Presidente Hayes,Paraguay,POINT (-22.285 -58.441)
focos_ams_ontem_hoje_ref.216e99fb-6436-3034-b0bb-39b6ce2e1edd,-58.119,-22.302,2021-07-04T17:50:00,AQUA_M-T,Puerto Pinasco,Presidente Hayes,Paraguay,POINT (-22.302 -58.119)
focos_ams_ontem_hoje_ref.1462fa77-12c9-39ac-9c14-beec3ed380ea,-65.953,-12.349,2021-07-04T17:50:00,AQUA_M-T,Yacuma,El Beni,Bolivia,POINT (-12.349 -65.953)
focos_ams_ontem_hoje_ref.7085226e-c89c-32e4-ac2e-97eb850cf92a,-58.13,-22.304,2021-07-04T17:50:00,AQUA_M-T,Puerto Pinasco,Presidente Hayes,Paraguay,POINT (-22.304 -58.13)
focos_ams_ontem_hoje_ref.2695fd62-912c-3b77-b327-1bdeeeac1ff6,-62.77,-11.856,2021-07-04T17:50:00,AQUA_M-T,SÃO MIGUEL DO GUAPORÉ,RONDÔNIA,Brasil,POINT (-11.856 -62.77)
focos_ams_ontem_hoje_ref.579f15a4-1412-3c88-be5c-19f42375e2b2,-58.122,-22.308,2021-07-04T17:50:00,AQUA_M-T,Puerto Pinasco,Presidente Hayes,Paraguay,POINT (-22.308 -58.122)
focos_ams_ontem_hoje_ref.46aa7853-dc88-39cb-bb8e-3d209fe9a6d0,-64.34,-8.943,2021-07-04T17:50:00,AQUA_M-T,PORTO VELHO,RONDÔNIA,Brasil,POINT (-8.943 -64.34)
focos_ams_ontem_hoje_ref.e9f751ab-db95-3c27-9192-ea79a79a0702,-65.965,-12.351,2021-07-04T17:50:00,AQUA_M-T,Yacuma,El Beni,Bolivia,POINT (-12.351 -65.965)
focos_ams_ontem_hoje_ref.8d17cb52-76e8-39fd-8944-2d070a71b907,-57.907,-22.313,2021-07-04T17:50:00,AQUA_M-T,La Victoria,Alto Paraguay,Paraguay,POINT (-22.313 -57.907)
focos_ams_ontem_hoje_ref.cdfa317b-e400-3cf0-992e-8a46d81c3da8,-56.085,-22.321,2021-07-04T17:50:00,AQUA_M-T,Pedro Juan Caballero,Amambay,Paraguay,POINT (-22.321 -56.085)
focos_ams_ontem_hoje_ref.304ea529-c99c-39b7-b9d1-2b719d1b6308,-65.783,-12.408,2021-07-04T17:50:00,AQUA_M-T,Yacuma,El Beni,Bolivia,POINT (-12.408 -65.783)
focos_ams_ontem_hoje_ref.c7a05732-fbc9-30ba-8bca-e7142ec1710e,-56.099,-22.323,2021-07-04T17:50:00,AQUA_M-T,Bella Vista,Amambay,Paraguay,POINT (-22.323 -56.099)
focos_ams_ontem_hoje_ref.c1cf08a1-a196-3686-8c9d-6b43e09483a1,-57.798,-22.345,2021-07-04T17:50:00,AQUA_M-T,San Lázaro,Concepción,Paraguay,POINT (-22.345 -57.798)
focos_ams_ontem_hoje_ref.71569631-832c-31fd-b616-9edc66c5c389,-64.349,-8.945,2021-07-04T17:50:00,AQUA_M-T,PORTO VELHO,RONDÔNIA,Brasil,POINT (-8.945 -64.349)
focos_ams_ontem_hoje_ref.f945c3e3-aa04-3467-8ba6-81700ea88973,-66.264,-12.605,2021-07-04T17:50:00,AQUA_M-T,Yacuma,El Beni,Bolivia,POINT (-12.605 -66.264)
focos_ams_ontem_hoje_ref.a55bcc02-b860-35ad-bc11-08ebacce6664,-57.924,-22.377,2021-07-04T17:50:00,AQUA_M-T,Puerto Pinasco,Presidente Hayes,Paraguay,POINT (-22.377 -57.924)
