FID,id,longitude,latitude,data_hora_gmt,satelite,municipio,estado,pais,municipio_id,estado_id,pais_id,numero_dias_sem_chuva,precipitacao,risco_fogo,bioma,geom
focos_brasil_ontem_hoje_ref.95fae499-1200-3149-a734-ca2f46625015,95fae499-1200-3149-a734-ca2f46625015,-71.922,-7.489,2021-07-05T18:35:00,AQUA_M-T,IPIXUNA,AMAZONAS,Brasil,1301803,13,33,,,,Amazônia,POINT (-7.489 -71.922)
focos_brasil_ontem_hoje_ref.23a6d854-ceb4-355d-9f98-c27bbc98bc76,23a6d854-ceb4-355d-9f98-c27bbc98bc76,-72.751,-7.191,2021-07-05T18:35:00,AQUA_M-T,GUAJARÁ,AMAZONAS,Brasil,1301654,13,33,,,,Amazônia,POINT (-7.191 -72.751)
focos_brasil_ontem_hoje_ref.86889e25-c164-39a5-8684-5d199b9302a0,86889e25-c164-39a5-8684-5d199b9302a0,-63.565,-9.815,2021-07-05T18:35:00,AQUA_M-T,ARIQUEMES,RONDÔNIA,Brasil,1100023,11,33,,,,Amazônia,POINT (-9.815 -63.565)
focos_brasil_ontem_hoje_ref.e1c15afa-d4df-3f49-82e8-8c337f53a4f8,e1c15afa-d4df-3f49-82e8-8c337f53a4f8,-71.027,-8.252,2021-07-05T18:35:00,AQUA_M-T,TARAUACÁ,ACRE,Brasil,1200609,12,33,,,,Amazônia,POINT (-8.252 -71.027)
focos_brasil_ontem_hoje_ref.85b3423e-79d5-302f-a10e-f5664b31238f,85b3423e-79d5-302f-a10e-f5664b31238f,-48.379,-3.297,2021-07-05T17:00:00,AQUA_M-T,PARAGOMINAS,PARÁ,Brasil,1505502,15,33,,,,Amazônia,POINT (-3.297 -48.379)
focos_brasil_ontem_hoje_ref.78df8df5-f87a-3ee7-be10-b299d8c0b05c,78df8df5-f87a-3ee7-be10-b299d8c0b05c,-48.369,-3.295,2021-07-05T17:00:00,AQUA_M-T,PARAGOMINAS,PARÁ,Brasil,1505502,15,33,,,,Amazônia,POINT (-3.295 -48.369)
focos_brasil_ontem_hoje_ref.1f70bdaa-ec56-34bb-97ed-c21957d794b3,1f70bdaa-ec56-34bb-97ed-c21957d794b3,-48.577,-2.731,2021-07-05T17:00:00,AQUA_M-T,TAILÂNDIA,PARÁ,Brasil,1507953,15,33,,,,Amazônia,POINT (-2.731 -48.577)
focos_brasil_ontem_hoje_ref.e637592d-dbc6-3f7f-92e4-a062db6b21c5,e637592d-dbc6-3f7f-92e4-a062db6b21c5,-43.938,-15.213,2021-07-05T16:55:00,AQUA_M-T,JAÍBA,MINAS GERAIS,Brasil,3135050,31,33,,,,Cerrado,POINT (-15.213 -43.938)
focos_brasil_ontem_hoje_ref.9df002ea-e505-3784-9e1d-4ac5bea3c6ed,9df002ea-e505-3784-9e1d-4ac5bea3c6ed,-43.924,-15.211,2021-07-05T16:55:00,AQUA_M-T,JAÍBA,MINAS GERAIS,Brasil,3135050,31,33,,,,Cerrado,POINT (-15.211 -43.924)
focos_brasil_ontem_hoje_ref.3e04f5b0-914e-3934-91b7-ec2e02132ffc,3e04f5b0-914e-3934-91b7-ec2e02132ffc,-43.945,-15.209,2021-07-05T16:55:00,AQUA_M-T,JAÍBA,MINAS GERAIS,Brasil,3135050,31,33,,,,Cerrado,POINT (-15.209 -43.945)
focos_brasil_ontem_hoje_ref.17db597c-e948-3c5f-8d78-1717d94fb057,17db597c-e948-3c5f-8d78-1717d94fb057,-43.932,-15.207,2021-07-05T16:55:00,AQUA_M-T,JAÍBA,MINAS GERAIS,Brasil,3135050,31,33,,,,Cerrado,POINT (-15.207 -43.932)
focos_brasil_ontem_hoje_ref.f6a0bdf1-c8a7-3abc-8cde-2049def1a517,f6a0bdf1-c8a7-3abc-8cde-2049def1a517,-52.734,-10.407,2021-07-05T16:55:00,AQUA_M-T,SÃO JOSÉ DO XINGU,MATO GROSSO,Brasil,5107354,51,33,,,,Amazônia,POINT (-10.407 -52.734)
focos_brasil_ontem_hoje_ref.9a411270-3c1f-3ba2-80f9-3362b0568e80,9a411270-3c1f-3ba2-80f9-3362b0568e80,-48.715,-15.178,2021-07-05T16:55:00,AQUA_M-T,VILA PROPÍCIO,GOIÁS,Brasil,5222302,52,33,,,,Cerrado,POINT (-15.178 -48.715)
focos_brasil_ontem_hoje_ref.25d236f9-fd3d-30d8-a496-6e4992fd78d3,25d236f9-fd3d-30d8-a496-6e4992fd78d3,-45.469,-15.121,2021-07-05T16:55:00,AQUA_M-T,CHAPADA GAÚCHA,MINAS GERAIS,Brasil,3116159,31,33,,,,Cerrado,POINT (-15.121 -45.469)
focos_brasil_ontem_hoje_ref.96cfcc08-2a00-3e8a-aacb-d80c9e573c3b,96cfcc08-2a00-3e8a-aacb-d80c9e573c3b,-49.347,-15.119,2021-07-05T16:55:00,AQUA_M-T,SANTA ISABEL,GOIÁS,Brasil,5219357,52,33,,,,Cerrado,POINT (-15.119 -49.347)
focos_brasil_ontem_hoje_ref.8fa3a49e-b5cf-3a6a-bb3a-4ba6b5df3d44,8fa3a49e-b5cf-3a6a-bb3a-4ba6b5df3d44,-42.745,-15.003,2021-07-05T16:55:00,AQUA_M-T,ESPINOSA,MINAS GERAIS,Brasil,3124302,31,33,,,,Cerrado,POINT (-15.003 -42.745)
focos_brasil_ontem_hoje_ref.552bf75c-837d-3dc7-8692-d89aa7e4cbbb,552bf75c-837d-3dc7-8692-d89aa7e4cbbb,-51.23,-20.395,2021-07-05T16:55:00,AQUA_M-T,ILHA SOLTEIRA,SÃO PAULO,Brasil,3520442,35,33,,,,Mata Atlântica,POINT (-20.395 -51.23)
focos_brasil_ontem_hoje_ref.deb024e0-d5f9-340c-93ce-eacd1022f323,deb024e0-d5f9-340c-93ce-eacd1022f323,-48.397,-14.269,2021-07-05T16:55:00,AQUA_M-T,NIQUELÂNDIA,GOIÁS,Brasil,5214606,52,33,,,,Cerrado,POINT (-14.269 -48.397)
focos_brasil_ontem_hoje_ref.de1cc8ee-3970-36bb-ad23-2427e17a2c9a,de1cc8ee-3970-36bb-ad23-2427e17a2c9a,-44.943,-14.251,2021-07-05T16:55:00,AQUA_M-T,COCOS,BAHIA,Brasil,2908101,29,33,,,,Cerrado,POINT (-14.251 -44.943)
focos_brasil_ontem_hoje_ref.9e97f070-2a6f-3790-84f3-dbdffd155aa0,9e97f070-2a6f-3790-84f3-dbdffd155aa0,-57.231,-10.825,2021-07-05T16:55:00,AQUA_M-T,JUARA,MATO GROSSO,Brasil,5105101,51,33,,,,Amazônia,POINT (-10.825 -57.231)
focos_brasil_ontem_hoje_ref.8cb304b5-278a-3608-85db-7f6e3db5f2bc,8cb304b5-278a-3608-85db-7f6e3db5f2bc,-41.324,-14.21,2021-07-05T16:55:00,AQUA_M-T,TANHAÇU,BAHIA,Brasil,2931004,29,33,,,,Caatinga,POINT (-14.21 -41.324)
focos_brasil_ontem_hoje_ref.db1dce0e-98d6-3976-8f6f-9aaa1decd748,db1dce0e-98d6-3976-8f6f-9aaa1decd748,-41.302,-14.206,2021-07-05T16:55:00,AQUA_M-T,TANHAÇU,BAHIA,Brasil,2931004,29,33,,,,Caatinga,POINT (-14.206 -41.302)
focos_brasil_ontem_hoje_ref.1386d24a-0cf1-3359-a88e-64c580d985d1,1386d24a-0cf1-3359-a88e-64c580d985d1,-41.311,-14.197,2021-07-05T16:55:00,AQUA_M-T,TANHAÇU,BAHIA,Brasil,2931004,29,33,,,,Caatinga,POINT (-14.197 -41.311)
focos_brasil_ontem_hoje_ref.c8ba2fa6-25b1-3136-9ad2-d2df0a522276,c8ba2fa6-25b1-3136-9ad2-d2df0a522276,-46.075,-14.1,2021-07-05T16:55:00,AQUA_M-T,JABORANDI,BAHIA,Brasil,2917359,29,33,,,,Cerrado,POINT (-14.1 -46.075)
focos_brasil_ontem_hoje_ref.ace2570a-f4a5-3c63-a1fb-b46219ae235c,ace2570a-f4a5-3c63-a1fb-b46219ae235c,-53.444,-14.344,2021-07-05T16:55:00,AQUA_M-T,CAMPINÁPOLIS,MATO GROSSO,Brasil,5102603,51,33,,,,Cerrado,POINT (-14.344 -53.444)
